Date,Open,High,Low,Close,Volume
2018-07-01 20:00:00-04:00,157.83,160.82,157.76,160.65,1970088
2018-07-02 20:00:00-04:00,161.49,162.09,159.17,159.40,1144202
2018-07-04 20:00:00-04:00,159.91,160.47,157.93,160.08,2014888
2018-07-05 20:00:00-04:00,160.08,160.58,157.82,159.86,1966861
2018-07-08 20:00:00-04:00,160.52,164.90,160.36,164.53,2151770
2018-07-09 20:00:00-04:00,164.86,166.12,164.10,165.04,1483864
2018-07-10 20:00:00-04:00,163.34,163.50,160.80,161.23,1730699
2018-07-11 20:00:00-04:00,162.32,163.70,160.80,162.96,1654501
2018-07-12 20:00:00-04:00,162.48,164.50,162.34,163.70,1220399
2018-07-15 20:00:00-04:00,162.70,163.85,160.41,161.20,2402452
2018-07-16 20:00:00-04:00,160.89,162.08,160.70,161.88,2235413
2018-07-17 20:00:00-04:00,162.19,165.86,161.97,165.41,2344001
2018-07-18 20:00:00-04:00,164.66,166.22,163.88,165.66,1923302
2018-07-19 20:00:00-04:00,164.89,165.30,163.55,164.53,2116401
2018-07-22 20:00:00-04:00,164.48,165.89,164.04,165.56,1498011
2018-07-23 20:00:00-04:00,166.46,168.30,165.49,165.86,2392896
2018-07-24 20:00:00-04:00,166.10,168.46,165.58,168.25,2339657
2018-07-25 20:00:00-04:00,168.92,170.19,167.85,168.95,1868822
2018-07-26 20:00:00-04:00,169.46,170.97,168.13,168.67,1508187
2018-07-29 20:00:00-04:00,168.62,171.12,168.09,168.39,1505085
2018-07-30 20:00:00-04:00,169.84,174.11,169.79,172.19,2340774
2018-07-31 20:00:00-04:00,172.07,172.07,168.55,168.85,1361005
2018-08-01 20:00:00-04:00,168.08,169.42,167.22,168.86,1278230
2018-08-02 20:00:00-04:00,168.52,170.93,168.21,170.40,1194214
2018-08-05 20:00:00-04:00,169.73,171.95,169.73,171.67,1501238
2018-08-06 20:00:00-04:00,172.17,174.86,171.36,173.58,1420573
2018-08-07 20:00:00-04:00,173.54,173.88,171.85,171.92,1102753
2018-08-08 20:00:00-04:00,172.28,173.03,171.43,171.44,1384460
2018-08-09 20:00:00-04:00,171.01,171.01,168.32,169.31,1840527
2018-08-12 20:00:00-04:00,169.48,169.95,168.19,168.77,1117024
2018-08-13 20:00:00-04:00,169.16,172.31,169.16,170.67,1289151
2018-08-14 20:00:00-04:00,170.23,170.90,168.01,170.51,1135887
2018-08-15 20:00:00-04:00,171.59,174.14,171.23,172.45,1279719
2018-08-16 20:00:00-04:00,172.31,173.30,171.92,172.94,997516
2018-08-19 20:00:00-04:00,173.22,175.03,173.22,174.23,1279967
2018-08-20 20:00:00-04:00,174.23,176.68,174.23,175.86,1568376
2018-08-21 20:00:00-04:00,175.18,175.62,172.70,172.94,1449736
2018-08-22 20:00:00-04:00,172.88,173.44,170.75,171.21,1495901
2018-08-23 20:00:00-04:00,172.04,172.33,171.22,171.59,1323030
2018-08-26 20:00:00-04:00,172.52,174.97,172.52,174.31,2048767
2018-08-27 20:00:00-04:00,174.70,174.85,173.16,173.42,1064654
2018-08-28 20:00:00-04:00,173.76,173.95,172.84,173.40,1218290
2018-08-29 20:00:00-04:00,173.30,173.63,172.17,172.80,1453707
2018-08-30 20:00:00-04:00,172.57,172.73,170.49,170.84,1831716
2018-09-03 20:00:00-04:00,170.81,170.83,168.66,168.98,2347227
2018-09-04 20:00:00-04:00,168.82,171.71,168.34,171.41,2344497
2018-09-05 20:00:00-04:00,170.98,173.07,170.21,172.41,1327125
2018-09-06 20:00:00-04:00,172.03,174.37,171.37,172.71,1510669
2018-09-09 20:00:00-04:00,172.79,176.23,172.41,175.16,1526306
2018-09-10 20:00:00-04:00,174.77,175.64,173.65,175.10,1429012
2018-09-11 20:00:00-04:00,175.10,178.54,174.55,177.64,1933726
2018-09-12 20:00:00-04:00,178.69,180.69,177.50,177.77,2131542
2018-09-13 20:00:00-04:00,177.93,180.40,177.87,179.36,1555345
2018-09-16 20:00:00-04:00,180.65,182.04,178.12,179.57,2763087
2018-09-17 20:00:00-04:00,175.36,175.54,169.38,169.63,8614029
2018-09-18 20:00:00-04:00,169.44,170.99,167.57,170.55,4081277
2018-09-19 20:00:00-04:00,171.79,173.84,171.44,173.30,2953456
2018-09-20 20:00:00-04:00,175.00,176.21,173.32,173.66,2965742
2018-09-23 20:00:00-04:00,173.12,173.52,170.37,171.22,2130301
2018-09-24 20:00:00-04:00,171.56,171.70,167.68,167.96,3625085
2018-09-25 20:00:00-04:00,168.22,170.76,167.75,169.30,2818187
2018-09-26 20:00:00-04:00,169.53,170.05,168.00,169.01,1765074
2018-09-27 20:00:00-04:00,168.47,169.35,166.77,169.08,2280586
2018-09-30 20:00:00-04:00,170.26,171.02,168.08,168.47,1771031
2018-10-01 20:00:00-04:00,168.16,169.18,167.69,167.82,1518612
2018-10-02 20:00:00-04:00,168.06,170.88,168.05,169.18,1574829
2018-10-03 20:00:00-04:00,169.09,170.20,166.89,167.87,1366713
2018-10-04 20:00:00-04:00,167.83,168.24,163.56,165.76,1886941
2018-10-07 20:00:00-04:00,164.96,167.54,163.45,165.00,1896000
2018-10-08 20:00:00-04:00,164.59,164.84,160.90,161.33,2070857
2018-10-09 20:00:00-04:00,160.90,161.19,155.43,155.50,3195947
2018-10-10 20:00:00-04:00,154.84,157.78,152.24,152.67,3399968
2018-10-11 20:00:00-04:00,157.39,157.82,152.83,155.18,3560677
2018-10-14 20:00:00-04:00,155.13,155.64,153.85,155.20,2824888
2018-10-15 20:00:00-04:00,156.53,158.94,155.67,158.82,2137126
2018-10-16 20:00:00-04:00,158.69,158.69,156.19,156.91,1709850
2018-10-17 20:00:00-04:00,156.23,156.89,151.73,152.58,2366339
2018-10-18 20:00:00-04:00,152.83,155.00,152.35,154.34,2098531
2018-10-21 20:00:00-04:00,154.30,154.95,152.40,153.36,1695578
2018-10-22 20:00:00-04:00,151.00,154.09,148.99,153.34,2424666
2018-10-23 20:00:00-04:00,152.11,154.07,146.65,146.90,2691109
2018-10-24 20:00:00-04:00,148.39,151.33,147.85,150.11,2026181
2018-10-25 20:00:00-04:00,148.08,150.44,146.12,147.83,2082522
2018-10-28 20:00:00-04:00,149.96,151.59,145.98,148.19,1683292
2018-10-29 20:00:00-04:00,148.22,152.47,148.09,152.04,1616278
2018-10-30 20:00:00-04:00,153.83,156.49,153.83,154.72,2136754
2018-10-31 20:00:00-04:00,155.18,158.08,153.32,157.32,1908286
2018-11-01 20:00:00-04:00,159.16,159.85,154.80,155.64,2244224
